country_dir,oecd_member,member_since
AFG_afghanistan,no,
AGO_angola,no,
ALB_albania,no,
AND_andorra,no,
ARE_united_arab_emirates,no,
ARG_argentina,no,
ARM_armenia,no,
ATG_antigua_and_barbuda,no,
AUS_australia,yes,1971
AUT_austria,yes,1961
AZE_azerbaijan,no,
BDI_burundi,no,
BEL_belgium,yes,1961
BEN_benin,no,
BFA_burkina_faso,no,
BGD_bangladesh,no,
BGR_bulgaria,no,
BHR_bahrain,no,
BHS_bahamas,no,
BIH_bosnia_and_herzegovina,no,
BLR_belarus,no,
BLZ_belize,no,
BOL_bolivia,no,
BRA_brazil,no,
BRB_barbados,no,
BRN_brunei,no,
BTN_bhutan,no,
BWA_botswana,no,
CAF_central_african_republic,no,
CAN_canada,yes,1961
CHE_switzerland,yes,1961
CHL_chile,yes,2010
CHN_china,no,
CIV_cote_d_ivoire,no,
CMR_cameroon,no,
COD_democratic_republic_of_the_congo,no,
COG_republic_of_the_congo,no,
COL_colombia,yes,2020
COM_comoros,no,
CPV_cape_verde,no,
CRI_costa_rica,yes,2021
CUB_cuba,no,
CYP_cyprus,no,
CZE_czechia,yes,1995
DEU_germany,yes,1961
DJI_djibouti,no,
DMA_dominica,no,
DNK_denmark,yes,1961
DOM_dominican_republic,no,
DZA_algeria,no,
ECU_ecuador,no,
EGY_egypt,no,
ERI_eritrea,no,
ESP_spain,yes,1961
EST_estonia,yes,2010
ETH_ethiopia,no,
FIN_finland,yes,1969
FJI_fiji,no,
FRA_france,yes,1961
FSM_micronesia,no,
GAB_gabon,no,
GBR_united_kingdom,yes,1961
GEO_georgia,no,
GHA_ghana,no,
GIN_guinea,no,
GMB_gambia,no,
GNB_guinea_bissau,no,
GNQ_equatorial_guinea,no,
GRC_greece,yes,1961
GRD_grenada,no,
GTM_guatemala,no,
GUY_guyana,no,
HND_honduras,no,
HRV_croatia,yes,2025
HTI_haiti,no,
HUN_hungary,yes,1996
IDN_indonesia,no,
IND_india,no,
IRL_ireland,yes,1961
IRN_iran,no,
IRQ_iraq,no,
ISL_iceland,yes,1961
ISR_israel,yes,2010
ITA_italy,yes,1962
JAM_jamaica,no,
JOR_jordan,no,
JPN_japan,yes,1964
KAZ_kazakhstan,no,
KEN_kenya,no,
KGZ_kyrgyzstan,no,
KHM_cambodia,no,
KIR_kiribati,no,
KNA_saint_kitts_and_nevis,no,
KOR_south_korea,yes,1996
KWT_kuwait,no,
LAO_laos,no,
LBN_lebanon,no,
LBR_liberia,no,
LBY_libya,no,
LCA_saint_lucia,no,
LIE_liechtenstein,no,
LKA_sri_lanka,no,
LSO_lesotho,no,
LTU_lithuania,yes,2018
LUX_luxembourg,yes,1961
LVA_latvia,yes,2016
MAR_morocco,no,
MCO_monaco,no,
MDA_moldova,no,
MDG_madagascar,no,
MDV_maldives,no,
MEX_mexico,yes,1994
MHL_marshall_islands,no,
MKD_north_macedonia,no,
MLI_mali,no,
MLT_malta,no,
MMR_myanmar,no,
MNE_montenegro,no,
MNG_mongolia,no,
MOZ_mozambique,no,
MRT_mauritania,no,
MUS_mauritius,no,
MWI_malawi,no,
MYS_malaysia,no,
NAM_namibia,no,
NER_niger,no,
NGA_nigeria,no,
NIC_nicaragua,no,
NLD_netherlands,yes,1961
NOR_norway,yes,1961
NPL_nepal,no,
NRU_nauru,no,
NZL_new_zealand,yes,1973
OMN_oman,no,
PAK_pakistan,no,
PAN_panama,no,
PER_peru,no,
PHL_philippines,no,
PLW_palau,no,
PNG_papua_new_guinea,no,
POL_poland,yes,1996
PRK_north_korea,no,
PRT_portugal,yes,1961
PRY_paraguay,no,
PSE_palestine,no,
QAT_qatar,no,
ROU_romania,no,
RUS_russia,no,
RWA_rwanda,no,
SAU_saudi_arabia,no,
SDN_sudan,no,
SEN_senegal,no,
SGP_singapore,no,
SLB_solomon_islands,no,
SLE_sierra_leone,no,
SLV_el_salvador,no,
SMR_san_marino,no,
SOM_somalia,no,
SRB_serbia,no,
SSD_south_sudan,no,
STP_sao_tome_and_principe,no,
SUR_suriname,no,
SVK_slovakia,yes,2000
SVN_slovenia,yes,2010
SWE_sweden,yes,1961
SWZ_eswatini,no,
SYC_seychelles,no,
SYR_syria,no,
TCD_chad,no,
TGO_togo,no,
THA_thailand,no,
TJK_tajikistan,no,
TKM_turkmenistan,no,
TLS_timor_leste,no,
TON_tonga,no,
TTO_trinidad_and_tobago,no,
TUN_tunisia,no,
TUR_turkey,yes,1961
TUV_tuvalu,no,
TWN_taiwan,no,
TZA_tanzania,no,
UGA_uganda,no,
UKR_ukraine,no,
URY_uruguay,no,
USA_united_states,yes,1961
UZB_uzbekistan,no,
VAT_holy_see,no,
VCT_saint_vincent_and_the_grenadines,no,
VEN_venezuela,no,
VNM_vietnam,no,
VUT_vanuatu,no,
WSM_samoa,no,
XKS_kosovo,no,
YEM_yemen,no,
ZAF_south_africa,no,
ZMB_zambia,no,
ZWE_zimbabwe,no,
