country_dir,un_id,un_name
BRN_brunei,25,Brunei-Darussalam
CIV_cote_d_ivoire,41,Cte-dIvoire
COG_republic_of_the_congo,39,Congo
CPV_cape_verde,32,Cabo-Verde
CZE_czechia,45,Czech-Republic
FSM_micronesia,111,Micronesia-Federated-States-of
GBR_united_kingdom,182,United-Kingdom-of-Great-Britain-and-Northern-Ireland
GEO_georgia,64,Georgia-Country
IRN_iran,79,Iran-Islamic-Republic-of
KOR_south_korea,138,Republic-of-Korea
LAO_laos,92,Lao-Peoples-Democratic-Republic
MDA_moldova,139,Republic-of-Moldova
PRK_north_korea,46,Democratic-Peoples-Republic-of-Korea
RUS_russia,141,Russian-Federation
SYR_syria,167,Syrian-Arab-Republic
TUR_turkey,176,Trkiye
TZA_tanzania,183,United-Republic-of-Tanzania
USA_united_states,184,United-States-of-America
