domain,name
12333zjg.gov.cn,Zhangjiagang 12333 social security hotline
ahjinzhai.gov.cn,Jinzhai county (Anhui)
ahsz.gov.cn,Suzhou city (Anhui)
aihami.gov.cn,Hami city (Xinjiang)
anshantiyu.gov.cn,Anshan Sports Bureau
aqtyj.gov.cn,Anqing Sports Bureau
baoan.gov.cn,Bao'an district (Shenzhen)
bda.gov.cn,Beijing Economic-Technological Development Area
beichuan.gov.cn,Beichuan county (Sichuan)
beihai.gov.cn,Beihai city (Guangxi)
binhai.gov.cn,Binhai New Area (Tianjin)
bjft.gov.cn,Fengtai district (Beijing)
bjhd.gov.cn,Haidian district (Beijing)
bjxch.gov.cn,Xicheng district (Beijing)
blzq.gov.cn,Bairin Left Banner (Inner Mongolia)
blzqjjjc.gov.cn,Bairin Left Banner discipline inspection
cdcredit.gov.cn,Chengdu credit platform
cddrc.gov.cn,Chengdu Development and Reform Commission
cddx.gov.cn,Chengdu Local Taxation Bureau
cdepb.gov.cn,Chengdu Environmental Protection Bureau
cdfgj.gov.cn,Chengdu Housing Administration Bureau
cdgh.gov.cn,Chengdu Planning Bureau
cdgzw.gov.cn,Chengdu SASAC
cdhrss.gov.cn,Chengdu Human Resources and Social Security Bureau
cdsga.gov.cn,Chengdu Public Security Bureau
cdsgjj.gov.cn,Chengdu Housing Provident Fund
cdta.gov.cn,Chengdu Tourism Administration
cdzfgjj.gov.cn,Chengdu Housing Provident Fund (variant)
cfzwfw.gov.cn,Chifeng government services (Inner Mongolia)
chancheng.gov.cn,Chancheng district (Foshan)
changzhou.gov.cn,Changzhou city (Jiangsu)
chengdu.gov.cn,Chengdu city (Sichuan)
chengducredit.gov.cn,Chengdu credit platform (variant)
chenghua.gov.cn,Chenghua district (Chengdu)
chengxinhaikou.gov.cn,Haikou credit platform (Hainan)
china-shftz.gov.cn,Shanghai Free Trade Zone
china-xmftz.gov.cn,Xiamen Free Trade Zone
conghuajj.gov.cn,Conghua district family planning (Guangzhou)
cs12333.gov.cn,Changsha 12333 social security hotline
csggzy.gov.cn,Changsha public resources trading
cshrss.gov.cn,Changsha Human Resources and Social Security Bureau
czcourt.gov.cn,Changzhou courts (Jiangsu)
czgabmfw.gov.cn,Changzhi public security services (Shanxi)
czhrss.gov.cn,Changzhou Human Resources and Social Security Bureau
daqing.gov.cn,Daqing city (Heilongjiang)
deyang.gov.cn,Deyang city (Sichuan)
dezhou.gov.cn,Dezhou city (Shandong)
dg.gov.cn,Dongguan city (Guangdong)
dgaic.gov.cn,Dongguan Administration for Industry and Commerce
dgsi.gov.cn,Dongguan Social Insurance
dingcheng.gov.cn,Dingcheng district (Changde)
dl-l-tax.gov.cn,Dalian Local Taxation
dlftz.gov.cn,Dalian Free Trade Zone
dtgabmfw.gov.cn,Datong public security services (Shanxi)
fengxian.gov.cn,Fengxian district (Shanghai)
fjqz-l-tax.gov.cn,Quanzhou Local Taxation (Fujian)
fjxm110.gov.cn,Xiamen 110 public security (Fujian)
foshan.gov.cn,Foshan city (Guangdong)
foshanepb.gov.cn,Foshan Environmental Protection Bureau
fq.gov.cn,Fuqing city (Fujian)
fsfda.gov.cn,Foshan Food and Drug Administration
fsgjj.gov.cn,Foshan Housing Provident Fund
fshrss.gov.cn,Foshan Human Resources and Social Security Bureau
fssi.gov.cn,Foshan Social Insurance
fthr.gov.cn,Futian district human resources (Shenzhen)
funan.gov.cn,Funan county (Anhui)
fuqing.gov.cn,Fuqing city (Fujian)
fuzhou.gov.cn,Fuzhou city (Fujian)
fz12315.gov.cn,Fuzhou 12315 hotline (Fujian)
getdd.gov.cn,Guangzhou Economic and Technological Development District
glga.gov.cn,Guilin Public Security Bureau
glrsj.gov.cn,Guilin Human Resources and Social Security Bureau
guanghan.gov.cn,Guanghan city (Sichuan)
gyaic.gov.cn,Guiyang Administration for Industry and Commerce
gytour.gov.cn,Guiyang Tourism
gz.gov.cn,Guangzhou city (Guangdong)
gzcourt.gov.cn,Guangzhou courts
gzgjj.gov.cn,Guangzhou Housing Provident Fund
gzjjzd.gov.cn,Guangzhou traffic police
haikou.gov.cn,Haikou city (Hainan)
haimen.gov.cn,Haimen city (Jiangsu)
haojiang.gov.cn,Haojiang district (Shantou)
haopinheze.gov.cn,Heze city promotion portal (Shandong)
harbin.gov.cn,Harbin city (Heilongjiang)
hazz-l-tax.gov.cn,Zhengzhou Local Taxation (Henan)
hengqin.gov.cn,Hengqin New Area (Zhuhai)
hengshan.gov.cn,Hengshan county (Hunan)
heyuan.gov.cn,Heyuan city (Guangdong)
heyuansfj.gov.cn,Heyuan Justice Bureau
hhhtchs.gov.cn,Hohhot urban construction (Inner Mongolia)
hlbrga.gov.cn,Hulunbuir Public Security Bureau
hrbga.gov.cn,Harbin Public Security Bureau
huaianwjw.gov.cn,Huai'an Health and Family Planning Commission
huiyang.gov.cn,Huiyang district (Huizhou)
huizhou.gov.cn,Huizhou city (Guangdong)
huli.gov.cn,Huli district (Xiamen)
huzhoujsw.gov.cn,Huzhou Construction Commission
hzfc.gov.cn,Hangzhou Real Estate Administration
ibinhai.gov.cn,Binhai New Area portal (Tianjin)
ixiamen.gov.cn,Xiamen city portal
ixm.gov.cn,Xiamen city portal (variant)
jh8890.gov.cn,Jinhua 8890 hotline (Zhejiang)
jhga.gov.cn,Jinhua Public Security Bureau
jiading.gov.cn,Jiading district (Shanghai)
jian.gov.cn,Ji'an city (Jiangxi)
jiangxia.gov.cn,Jiangxia district (Wuhan)
jiangyou.gov.cn,Jiangyou city (Sichuan)
jimei.gov.cn,Jimei district (Xiamen)
jingan.gov.cn,Jing'an district (Shanghai)
jingmen.gov.cn,Jingmen city (Hubei)
jinjiang.gov.cn,Jinjiang city (Fujian)
jinqiao.gov.cn,Jinqiao area - Pudong (Shanghai)
jiyuan.gov.cn,Jiyuan city (Henan)
jm.gov.cn,Jiangmen city (Guangdong)
jnfda.gov.cn,Jinan Food and Drug Administration
jsszhrss.gov.cn,Suzhou Human Resources and Social Security (Jiangsu)
